store_id,store_name,product_name,category,sku,stock_qty,reorder_level,cost_price_ghs,last_restocked,supplier
STR001,Accra Central,Smart TV 43in,Electronics,SKU-32416,39.0,14,65.29,2023-09-14,Delta Traders
STR001,Accra Central,Bluetooth Speaker,Electronics,SKU-85433,51.0,24,265.28,2023-09-15,Accra Wholesale Co
STR001,Accra Central,Wireless Earbuds,Electronics,SKU-78518,72.0,17,534.78,2023-09-11,West Africa Distributors
STR001,Accra Central,Phone Charger,Electronics,SKU-15396,105.0,23,156.11,2023-10-23,Ghana Imports Ltd
STR001,Accra Central,Power Bank,Electronics,SKU-71899,22.0,23,117.39,2023-10-16,Ghana Imports Ltd
STR001,Accra Central,Extension Cable,Electronics,SKU-20311,116.0,20,245.62,2023-10-13,Kumasi Supplies GH
STR001,Accra Central,LED Desk Lamp,Electronics,SKU-17399,13.0,17,265.88,2023-10-22,Ghana Imports Ltd
STR001,Accra Central,Webcam HD,Electronics,SKU-10547,28.0,10,100.73,2023-09-01,Kumasi Supplies GH
STR001,Accra Central,USB Hub,Electronics,SKU-56357,148.0,10,314.94,2023-10-11,Ghana Imports Ltd
STR001,Accra Central,Portable Fan,Electronics,SKU-19947,133.0,12,537.44,2023-12-18,Delta Traders
STR001,Accra Central,Rice 25kg,Grocery,SKU-61572,61.0,21,6.85,2023-12-12,Accra Wholesale Co
STR001,Accra Central,Cooking Oil 5L,Grocery,SKU-96052,4.0,30,21.15,2023-12-20,Delta Traders
STR001,Accra Central,Tomato Paste 400g,Grocery,SKU-12006,81.0,12,8.88,2023-12-21,Kumasi Supplies GH
STR001,Accra Central,Sugar 2kg,Grocery,SKU-64082,148.0,19,22.62,2023-09-25,Ghana Imports Ltd
STR001,Accra Central,Flour 1kg,Grocery,SKU-85379,37.0,18,19.77,2023-09-23,West Africa Distributors
STR001,Accra Central,Milk Powder 400g,Grocery,SKU-86529,85.0,30,12.22,2023-12-28,Ghana Imports Ltd
STR001,Accra Central,Sardines 125g,Grocery,SKU-82674,8.0,19,16.36,2023-09-09,West Africa Distributors
STR001,Accra Central,Oats 500g,Grocery,SKU-86628,0.0,20,15.61,2023-09-13,Accra Wholesale Co
STR001,Accra Central,Biscuits Pack,Grocery,SKU-84175,93.0,17,6.53,2023-09-29,Accra Wholesale Co
STR001,Accra Central,Cornflakes 500g,Grocery,SKU-81196,197.0,21,1.82,2023-11-29,Kumasi Supplies GH
STR001,Accra Central,Men T-Shirt,Clothing,SKU-46992,147.0,27,57.61,2023-12-25,Kumasi Supplies GH
STR001,Accra Central,Women Blouse,Clothing,SKU-28658,115.0,24,62.41,2023-09-05,Kumasi Supplies GH
STR001,Accra Central,Children Shorts,Clothing,SKU-40156,69.0,24,10.63,2023-09-08,Accra Wholesale Co
STR001,Accra Central,School Uniform,Clothing,SKU-94857,159.0,15,33.12,2023-11-10,Accra Wholesale Co
STR001,Accra Central,Men Trousers,Clothing,SKU-86858,144.0,25,72.58,2023-09-12,Delta Traders
STR001,Accra Central,Women Dress,Clothing,SKU-22130,116.0,22,35.38,2023-11-17,Ghana Imports Ltd
STR001,Accra Central,Sneakers Size 40,Clothing,SKU-29376,189.0,17,34.05,2023-11-28,Ghana Imports Ltd
STR001,Accra Central,Sandals,Clothing,SKU-65343,184.0,21,76.71,2023-12-24,Kumasi Supplies GH
STR001,Accra Central,Baseball Cap,Clothing,SKU-56427,63.0,30,51.21,2023-09-10,Accra Wholesale Co
STR001,Accra Central,Socks Pack 3,Clothing,SKU-19085,164.0,25,77.66,2023-09-04,West Africa Distributors
STR001,Accra Central,Mop & Bucket Set,Household,SKU-63358,183.0,30,4.45,2023-10-08,Accra Wholesale Co
STR001,Accra Central,Washing Powder 1kg,Household,SKU-68456,51.0,21,41.43,2023-10-30,Kumasi Supplies GH
STR001,Accra Central,Toilet Cleaner,Household,SKU-36474,94.0,10,36.42,2023-11-13,Accra Wholesale Co
STR001,Accra Central,Dish Soap 750ml,Household,SKU-24673,165.0,20,37.09,2023-10-25,Accra Wholesale Co
STR001,Accra Central,Broom,Household,SKU-93114,40.0,23,20.53,2023-09-04,Kumasi Supplies GH
STR001,Accra Central,Plastic Basin,Household,SKU-16181,16.0,13,33.86,2023-11-11,Ghana Imports Ltd
STR001,Accra Central,Storage Box,Household,SKU-83866,0.0,29,31.96,2023-12-23,Ghana Imports Ltd
STR001,Accra Central,Air Freshener,Household,SKU-32032,71.0,28,25.96,2023-09-01,Kumasi Supplies GH
STR001,Accra Central,Candles Pack,Household,SKU-59261,34.0,25,4.68,2023-11-28,Accra Wholesale Co
STR001,Accra Central,Mosquito Net,Household,SKU-57982,171.0,26,23.58,2023-10-30,Kumasi Supplies GH
STR001,Accra Central,Body Lotion 400ml,Health & Beauty,SKU-97543,21.0,18,30.76,2023-11-25,Kumasi Supplies GH
STR001,Accra Central,Shampoo 300ml,Health & Beauty,SKU-80961,25.0,13,19.19,2023-11-12,Delta Traders
STR001,Accra Central,Toothpaste 100g,Health & Beauty,SKU-29771,7.0,25,32.69,2023-10-28,West Africa Distributors
STR001,Accra Central,Hand Sanitizer 250ml,Health & Beauty,SKU-86045,178.0,28,34.47,2023-11-27,Accra Wholesale Co
STR001,Accra Central,Painkillers 20s,Health & Beauty,SKU-50543,30.0,16,7.21,2023-10-18,Delta Traders
STR001,Accra Central,Sunscreen SPF30,Health & Beauty,SKU-40622,72.0,26,33.53,2023-12-10,Ghana Imports Ltd
STR001,Accra Central,Baby Powder,Health & Beauty,SKU-40429,108.0,24,3.83,2023-12-05,Delta Traders
STR001,Accra Central,Lip Balm,Health & Beauty,SKU-16587,92.0,27,16.16,2023-09-16,Ghana Imports Ltd
STR001,Accra Central,Face Wash,Health & Beauty,SKU-21598,130.0,24,18.64,2023-12-30,Kumasi Supplies GH
STR001,Accra Central,Deodorant,Health & Beauty,SKU-56176,157.0,29,22.57,2023-11-25,Delta Traders
STR002,Kumasi Main,Smart TV 43in,Electronics,SKU-51780,95.0,22,186.71,2023-11-17,Ghana Imports Ltd
STR002,Kumasi Main,Bluetooth Speaker,Electronics,SKU-21292,9.0,12,118.4,2023-11-18,Kumasi Supplies GH
STR002,Kumasi Main,Wireless Earbuds,Electronics,SKU-19936,147.0,13,495.53,2023-09-20,Kumasi Supplies GH
STR002,Kumasi Main,Phone Charger,Electronics,SKU-54613,107.0,28,83.82,2023-11-13,West Africa Distributors
STR002,Kumasi Main,Power Bank,Electronics,SKU-21215,0.0,30,150.87,2023-09-10,Delta Traders
STR002,Kumasi Main,Extension Cable,Electronics,SKU-51376,82.0,30,277.22,2023-10-21,Kumasi Supplies GH
STR002,Kumasi Main,LED Desk Lamp,Electronics,SKU-66619,84.0,15,222.08,2023-10-25,Accra Wholesale Co
STR002,Kumasi Main,Webcam HD,Electronics,SKU-82145,140.0,25,340.46,2023-10-03,Ghana Imports Ltd
STR002,Kumasi Main,USB Hub,Electronics,SKU-56767,103.0,28,84.77,2023-12-19,West Africa Distributors
STR002,Kumasi Main,Portable Fan,Electronics,SKU-98345,42.0,14,89.25,2023-09-18,Kumasi Supplies GH
STR002,Kumasi Main,Rice 25kg,Grocery,SKU-70332,85.0,10,18.19,2023-12-11,West Africa Distributors
STR002,Kumasi Main,Cooking Oil 5L,Grocery,SKU-24805,112.0,21,19.24,2023-12-17,West Africa Distributors
STR002,Kumasi Main,Tomato Paste 400g,Grocery,SKU-44751,126.0,25,26.41,2023-12-09,West Africa Distributors
STR002,Kumasi Main,Sugar 2kg,Grocery,SKU-32585,171.0,19,6.88,2023-09-28,West Africa Distributors
STR002,Kumasi Main,Flour 1kg,Grocery,SKU-94002,178.0,12,6.94,2023-09-09,West Africa Distributors
STR002,Kumasi Main,Milk Powder 400g,Grocery,SKU-11854,117.0,15,2.46,2023-09-07,Ghana Imports Ltd
STR002,Kumasi Main,Sardines 125g,Grocery,SKU-36258,151.0,21,20.45,2023-10-28,Accra Wholesale Co
STR002,Kumasi Main,Oats 500g,Grocery,SKU-65245,51.0,28,24.27,2023-09-13,Kumasi Supplies GH
STR002,Kumasi Main,Biscuits Pack,Grocery,SKU-41504,1.0,26,24.48,2023-11-08,Ghana Imports Ltd
STR002,Kumasi Main,Cornflakes 500g,Grocery,SKU-94427,58.0,28,11.9,2023-11-22,Ghana Imports Ltd
STR002,Kumasi Main,Men T-Shirt,Clothing,SKU-48828,4.0,19,14.02,2023-09-19,Delta Traders
STR002,Kumasi Main,Women Blouse,Clothing,SKU-52091,89.0,18,42.18,2023-12-17,Ghana Imports Ltd
STR002,Kumasi Main,Children Shorts,Clothing,SKU-13718,18.0,26,17.17,2023-11-09,Delta Traders
STR002,Kumasi Main,School Uniform,Clothing,SKU-19075,39.0,30,53.59,2023-11-15,Kumasi Supplies GH
STR002,Kumasi Main,Men Trousers,Clothing,SKU-90696,135.0,19,76.03,2023-12-11,Ghana Imports Ltd
STR002,Kumasi Main,Women Dress,Clothing,SKU-62054,48.0,19,32.03,2023-10-29,Ghana Imports Ltd
STR002,Kumasi Main,Sneakers Size 40,Clothing,SKU-29326,105.0,19,53.69,2023-12-17,Accra Wholesale Co
STR002,Kumasi Main,Sandals,Clothing,SKU-30758,82.0,19,30.46,2023-10-24,Accra Wholesale Co
STR002,Kumasi Main,Baseball Cap,Clothing,SKU-88867,87.0,18,75.38,2023-12-11,Accra Wholesale Co
STR002,Kumasi Main,Socks Pack 3,Clothing,SKU-39197,72.0,10,19.71,2023-11-02,Kumasi Supplies GH
STR002,Kumasi Main,Mop & Bucket Set,Household,SKU-49630,70.0,22,12.47,2023-10-20,Delta Traders
STR002,Kumasi Main,Washing Powder 1kg,Household,SKU-43333,66.0,25,39.32,2023-11-27,Ghana Imports Ltd
STR002,Kumasi Main,Toilet Cleaner,Household,SKU-85304,63.0,28,19.23,2023-11-07,Kumasi Supplies GH
STR002,Kumasi Main,Dish Soap 750ml,Household,SKU-10247,27.0,22,25.58,2023-09-25,Ghana Imports Ltd
STR002,Kumasi Main,Broom,Household,SKU-17439,21.0,15,13.01,2023-09-01,West Africa Distributors
STR002,Kumasi Main,Plastic Basin,Household,SKU-76209,102.0,12,27.76,2023-10-20,Delta Traders
STR002,Kumasi Main,Storage Box,Household,SKU-90855,21.0,26,16.08,2023-12-03,Ghana Imports Ltd
STR002,Kumasi Main,Air Freshener,Household,SKU-10546,111.0,22,10.32,2023-10-17,Delta Traders
STR002,Kumasi Main,Candles Pack,Household,SKU-32440,17.0,20,16.2,2023-12-25,West Africa Distributors
STR002,Kumasi Main,Mosquito Net,Household,SKU-13587,156.0,13,24.55,2023-11-25,Kumasi Supplies GH
STR002,Kumasi Main,Body Lotion 400ml,Health & Beauty,SKU-80406,180.0,20,20.61,2023-09-23,Accra Wholesale Co
STR002,Kumasi Main,Shampoo 300ml,Health & Beauty,SKU-56850,29.0,30,7.91,2023-11-27,West Africa Distributors
STR002,Kumasi Main,Toothpaste 100g,Health & Beauty,SKU-60678,155.0,18,7.57,2023-11-04,Ghana Imports Ltd
STR002,Kumasi Main,Hand Sanitizer 250ml,Health & Beauty,SKU-33015,55.0,26,11.74,2023-10-17,Delta Traders
STR002,Kumasi Main,Painkillers 20s,Health & Beauty,SKU-29009,72.0,15,21.7,2023-10-23,Ghana Imports Ltd
STR002,Kumasi Main,Sunscreen SPF30,Health & Beauty,SKU-58948,181.0,10,32.59,2023-09-14,Ghana Imports Ltd
STR002,Kumasi Main,Baby Powder,Health & Beauty,SKU-33370,129.0,30,7.3,2023-10-09,Delta Traders
STR002,Kumasi Main,Lip Balm,Health & Beauty,SKU-41654,133.0,22,35.07,2023-10-22,West Africa Distributors
STR002,Kumasi Main,Face Wash,Health & Beauty,SKU-91218,37.0,24,20.44,2023-09-24,Kumasi Supplies GH
STR002,Kumasi Main,Deodorant,Health & Beauty,SKU-59159,155.0,13,17.53,2023-12-26,West Africa Distributors
STR003,Takoradi Market,Smart TV 43in,Electronics,SKU-72463,80.0,16,390.93,2023-12-11,Ghana Imports Ltd
STR003,Takoradi Market,Bluetooth Speaker,Electronics,SKU-12532,0.0,13,320.16,2023-09-13,Delta Traders
STR003,Takoradi Market,Wireless Earbuds,Electronics,SKU-61207,26.0,21,190.8,2023-10-22,Accra Wholesale Co
STR003,Takoradi Market,Phone Charger,Electronics,SKU-19263,183.0,10,177.7,2023-12-03,West Africa Distributors
STR003,Takoradi Market,Power Bank,Electronics,SKU-87103,122.0,12,232.97,2023-11-20,Accra Wholesale Co
STR003,Takoradi Market,Extension Cable,Electronics,SKU-64201,63.0,18,30.04,2023-09-21,Kumasi Supplies GH
STR003,Takoradi Market,LED Desk Lamp,Electronics,SKU-79230,0.0,24,257.49,2023-10-31,West Africa Distributors
STR003,Takoradi Market,Webcam HD,Electronics,SKU-34743,187.0,16,432.57,2023-11-23,Kumasi Supplies GH
STR003,Takoradi Market,USB Hub,Electronics,SKU-21120,77.0,11,398.57,2023-11-09,Accra Wholesale Co
STR003,Takoradi Market,Portable Fan,Electronics,SKU-52395,86.0,15,64.35,2023-12-11,Ghana Imports Ltd
STR003,Takoradi Market,Rice 25kg,Grocery,SKU-56456,178.0,11,2.17,2023-12-22,Ghana Imports Ltd
STR003,Takoradi Market,Cooking Oil 5L,Grocery,SKU-34939,193.0,29,2.13,2023-12-01,Accra Wholesale Co
STR003,Takoradi Market,Tomato Paste 400g,Grocery,SKU-75200,35.0,21,8.93,2023-10-06,West Africa Distributors
STR003,Takoradi Market,Sugar 2kg,Grocery,SKU-38564,190.0,27,9.07,2023-11-15,Accra Wholesale Co
STR003,Takoradi Market,Flour 1kg,Grocery,SKU-98800,192.0,17,14.1,2023-11-14,Accra Wholesale Co
STR003,Takoradi Market,Milk Powder 400g,Grocery,SKU-32943,141.0,15,7.28,2023-12-11,Kumasi Supplies GH
STR003,Takoradi Market,Sardines 125g,Grocery,SKU-45263,160.0,15,18.27,2023-12-09,Kumasi Supplies GH
STR003,Takoradi Market,Oats 500g,Grocery,SKU-39622,188.0,11,14.88,2023-10-06,Accra Wholesale Co
STR003,Takoradi Market,Biscuits Pack,Grocery,SKU-12184,197.0,30,10.69,2023-09-30,Delta Traders
STR003,Takoradi Market,Cornflakes 500g,Grocery,SKU-49674,18.0,12,17.09,2023-12-02,Delta Traders
STR003,Takoradi Market,Men T-Shirt,Clothing,SKU-65643,166.0,16,50.29,2023-10-11,Kumasi Supplies GH
STR003,Takoradi Market,Women Blouse,Clothing,SKU-83223,120.0,30,58.93,2023-09-01,West Africa Distributors
STR003,Takoradi Market,Children Shorts,Clothing,SKU-16699,198.0,19,10.32,2023-11-12,Delta Traders
